CAS,Name,Formula,Elements,Mw
100-21-0,"1,4-Benzenedicarboxylic acid",C8H6O4,"['C', 'H', 'O']",166.0266086717208
1002-11-5,"Decane, 3-chloro-",C10H21Cl,"['C', 'H', 'Cl']",176.133178359389
1002-17-1,"2,9-Dimethyldecane",C12H26,"['C', 'H']",170.203450838214
10021-92-8,"trans-Cyclohexane-1,3-dicarboxylic acid dimethyl ester",C10H16O4,"['C', 'H', 'O']",200.1048589941108
100-22-1,"1,4-Benzenediamine, N,N,N',N'-tetramethyl-",C10H16N2,"['C', 'H', 'N']",164.13134852468798
10022-28-3,n-Octanal dimethyl acetal,C10H22O2,"['C', 'H', 'O']",174.1619799484014
10022-50-1,Nitryl fluoride,FNO2,"['F', 'N', 'O']",64.9913064063146
1002-26-2,"1,3-heptadiene",C7H12,"['C', 'H']",96.093900386868
1002-27-3,"1,3,6-Heptatriene",C7H10,"['C', 'H']",94.07825032239
1002-28-4,3-Hexyn-1-ol,C6H10O,"['C', 'H', 'O']",98.0731649419617
100-23-2,"Benzenamine, N,N-dimethyl-4-nitro-",C8H10N2O2,"['C', 'H', 'N', 'O']",166.0742275703974
1002-33-1,"1,3-Octadiene",C8H14,"['C', 'H']",110.109550451346
1002-35-3,"1,3,7-Octatriene",C8H12,"['C', 'H']",108.093900386868
1002-41-1,"Disulfide, bis(2-chloroethyl)",C4H8Cl2S2,"['C', 'H', 'Cl', 'S']",189.94444797148
100241-75-6,"Benzoic acid, 4-bromo-, 2-acetyl-3-hydroxy-1-methylene-2-butenyl ester, (Z)-",C14H13BrO4,"['C', 'H', 'Br', 'O']",323.99972151139383
10024-18-7,"1,2-Propadiene, 1-bromo-",C3H3Br,"['C', 'H', 'Br']",117.94181271071699
1002-43-3,"Undecane, 3-methyl-",C12H26,"['C', 'H']",170.203450838214
10024-90-5,"Acetophenone, 4'-methoxy-3'-methyl-",C10H12O2,"['C', 'H', 'O']",164.0837296260114
10024-97-2,Nitrous oxide,N2O,"['N', 'O']",44.0010626284357
100-25-4,"Benzene, 1,4-dinitro-",C6H4N2O4,"['C', 'H', 'N', 'O']",168.01710661610682
