CAS,Name,Formula,Elements,Mw
1477-42-5,"2-Benzothiazolamine, 4-methyl-",C8H8N2S,"['C', 'H', 'N', 'S']",164.04081944119
1477-50-5,Indole-2-carboxylic acid,C9H7NO2,"['C', 'H', 'N', 'O']",161.0476784692484
1477-55-0,"1,3-Benzenedimethanamine",C8H12N2,"['C', 'H', 'N']",136.100048395732
14779-78-3,Padimate,C14H21NO2,"['C', 'H', 'N', 'O']",235.1572289205944
147-81-9,Arabinose,C5H10O5,"['C', 'H', 'O']",150.0528234202485
147-82-0,"Benzenamine, 2,4,6-tribromo-",C6H4Br3N,"['C', 'H', 'Br', 'N']",326.78938697538797
14783-50-7,Spiro[3.4]oct-5-ene,C8H12,"['C', 'H']",108.093900386868
147-84-2,"Carbamodithioic acid, diethyl-",C5H11NS2,"['C', 'H', 'N', 'S']",149.033291707889
147-85-3,Proline,C5H9NO2,"['C', 'H', 'N', 'O']",115.0633285337264
1478-62-2,"propanoyl fluoride, 2,2-dimethyl-",C5H9FO,"['C', 'H', 'F', 'O']",104.06374307246192
14786-27-7,"Benzoic acid, 4-nitro, benzyl ester",C14H11NO4,"['C', 'H', 'N', 'O']",257.0688078373478
14788-65-9,"4-Quinolinol, 4-ethynyldecahydro-1,2-dimethyl-, (2&#945;,4&#946;,4a&#945;,8a&#946;)-",C13H21NO,"['C', 'H', 'N', 'O']",207.1623143010227
14789-33-4,"3,7-Diazabicyclo[3.3.1]nonane, 3,7-dimethyl-",C9H18N2,"['C', 'H', 'N']",154.146998589166
1478-96-2,"Val, butyl ester, TFA",C11H18F3NO3,"['C', 'H', 'F', 'N', 'O']",269.1238779316667
147-93-3,"Benzoic acid, 2-mercapto-",C7H6O2S,"['C', 'H', 'O', 'S']",154.00885060699142
14794-31-1,"Butanoic acid, 4-chloro-4-oxo-, ethyl ester",C6H9ClO3,"['C', 'H', 'Cl', 'O']",164.0240218312361
14794-69-5,(+)&#946;-Desmotroposantonin acetate,C17H20O4,"['C', 'H', 'O']",288.1361591230668
14794-71-9,(-)&#945;-Desmotroposantonin acetate,C17H20O4,"['C', 'H', 'O']",288.1361591230668
1479-58-9,2-Amino-5-bromo-2'-fluorobenzophenone,C13H9BrFNO,"['C', 'H', 'Br', 'F', 'N', 'O']",292.9851546908939
14797-73-0,OClO3,ClO4,"['Cl', 'O']",98.9485111606568
14802-41-6,"Pyridine, 4-(2-(pyridyl-4)ethenyl)-, trans-",C12H10N2,"['C', 'H', 'N']",182.084398331254
14803-30-6,"Cyclopropane, trimethyl(2-methyl-1-propenylidene)-",C10H16,"['C', 'H']",136.125200515824
14803-42-0,"Bicyclo[2.2.2]oct-2-ene, 5-methyl-, (1&#945;,4&#945;,5&#946;)-",C9H14,"['C', 'H']",122.109550451346
14803-72-6,"P-methoxy carbanilic acid, methyl ester",C9H11NO3,"['C', 'H', 'N', 'O']",181.0738932177761
14804-32-1,"Benzene, 1-ethyl-2-methoxy-",C9H12O,"['C', 'H', 'O']",136.0888150064397
14804-39-8,"m-Xylene, 2-methoxy-5-nitro-,",C9H11NO3,"['C', 'H', 'N', 'O']",181.0738932177761
1480-90-6,"Hypoxanthine, 2-fluoro-",C5H3FN4O,"['C', 'H', 'F', 'N', 'O']",154.0290888967559
14811-73-5,Methyl 10-oxodecanoate,C11H20O3,"['C', 'H', 'O']",200.1412445034951
14811-92-8,"Octadecanoic acid, 2,3-dihydroxypropyl ester,(r)-",C21H42O4,"['C', 'H', 'O']",358.3083098323248
14811-95-1,"1,19-Eicosadiene",C20H38,"['C', 'H']",278.297351225082
1481-36-3,Fluorocyclopentane,C5H9F,"['C', 'H', 'F']",88.06882845289022
14816-18-3,phoxim,C12H15N2O3PS,"['C', 'H', 'N', 'O', 'P', 'S']",298.0541005240051
14818-53-2,"Acetamide,N-(3,5-dimethylphenyl)-2,2,2-trifluoro-",C10H10F3NO,"['C', 'H', 'F', 'N', 'O']",217.07144843461128
1481-93-2,4-Chromanol,C9H10O2,"['C', 'H', 'O']",150.0680795615334
1482-01-5,"2,2,4-Trimethyl-3-oxovaleraldehyde",C8H14O2,"['C', 'H', 'O']",142.0993796904894
1482-15-1,"1-Pentyn-3-ol, 3,4-dimethyl-",C7H12O,"['C', 'H', 'O']",112.0888150064397
148-24-3,8-Quinolinol,C9H7NO,"['C', 'H', 'N', 'O']",145.0527638496767
1482-78-6,Androsterone acetate,C21H32O3,"['C', 'H', 'O']",332.2351448903631
1482-91-3,"1,3,5,7-Octatetraene",C8H10,"['C', 'H']",106.07825032239
1483-20-1,"1,3-Benzoxathiol-2-one, 5-methoxy-,",C8H6O3S,"['C', 'H', 'O', 'S']",182.0037652265631
148-32-3,Amprotropine,C18H29NO3,"['C', 'H', 'N', 'O']",307.2147437980781
14832-59-8,"1H-Tetrazol-5-amine, N-phenyl-",C7H7N5,"['C', 'H', 'N']",161.070145247833
14832-61-2,"1H-Tetrazole, 5-m-toluidine-",C8H9N5,"['C', 'H', 'N']",175.085795312311
1483-27-8,"2,5-Dimethoxythiophenol",C8H10O2S,"['C', 'H', 'O', 'S']",170.0401507359474
1483-28-9,"2,5-Dimethoxybenzenesulfonyl chloride",C8H9ClO4S,"['C', 'H', 'Cl', 'O', 'S']",235.9910076252218
14833-64-8,"Cyclohexanecarboxylic acid, 1,3-dihydroxy-4,5-(isopropylidenedioxy)-, gamma-lactone, 1-acetate",C12H16O6,"['C', 'H', 'O']",256.0946882332542
1483-41-6,2-Bromoethyl isothiocyanate,C3H4BrNS,"['C', 'H', 'Br', 'N', 'S']",164.92478292180198
1483-42-7,"Methanediamine,n,n'-dibenzyl-n,n'-dimethyl-",C17H22N2,"['C', 'H', 'N']",254.178298718122
14835-59-7,N-(2-Biphenylyl)phthalic acid imide,C20H13NO2,"['C', 'H', 'N', 'O']",299.0946286626824
1483-58-5,Ethenylthiourea,C3H6N2S,"['C', 'H', 'N', 'S']",102.025169376712
1483-60-9,"Benzene, 1,3-dimethyl-4-(1-methylpropyl)",C12H18,"['C', 'H']",162.14085058030201
14836-22-7,CH3CH2S,C2H5S,"['C', 'H', 'S']",61.011196335609
1483-64-3,"Benzene, 1,1',1'',1'''-(1,4-butanediylidene)tetrakis-",C28H26,"['C', 'H']",362.203450838214
1483-67-6,2-Heptynoic acid,C7H10O2,"['C', 'H', 'O']",126.06807956153341
14838-15-4,Norephedrine,C6H9N6O3P,"['C', 'H', 'N', 'O', 'P']",244.0473751738851
1483-82-5,"Benzene,(chloroethynyl)-",C8H5Cl,"['C', 'H', 'Cl']",136.00797784356502
1484-08-8,"9H-Carbazole, 9-butyl-",C16H17N,"['C', 'H', 'N']",223.136099552495
1484-09-9,N-Isopropylcarbazole,C15H15N,"['C', 'H', 'N']",209.120449488017
1484-10-2,N-propyl-9H-carbazole,C15H15N,"['C', 'H', 'N']",209.120449488017
1484-12-4,N-Methylcarbazole,C13H11N,"['C', 'H', 'N']",181.089149359061
1484-19-1,3-ethyl-indole,C10H11N,"['C', 'H', 'N']",145.089149359061
1484-26-0,3-Aminophenyl benzyl ether,C13H13NO,"['C', 'H', 'N', 'O']",199.09971404311068
148438-00-0,Methyl 3-trifluoromethoxybenzoate,C9H7F3O3,"['C', 'H', 'F', 'O']",220.0347285726057
1484-50-0,"Ethanone, 2-bromo-1,2-diphenyl-",C14H11BrO,"['C', 'H', 'Br', 'O']",273.99932758820074
148461-87-4,"Pentyl N,N-dimethylphosphoramidocyanidate",C8H17N2O2P,"['C', 'H', 'N', 'O', 'P']",204.1027647944974
1484-80-6,2-Ethylpiperidine,C7H15N,"['C', 'H', 'N']",113.120449488017
1484-84-0,2-(2-Hydroxyethyl)piperidine,C7H15NO,"['C', 'H', 'N', 'O']",129.1153641075887
1485-00-3,"3,4-Methylenedioxy-.beta.-nitrostyrene",C9H7NO4,"['C', 'H', 'N', 'O']",193.03750770839181
14850-22-7,"3-Octene, (Z)-",C8H16,"['C', 'H']",112.125200515824
14850-23-8,"4-Octene, (E)-",C8H16,"['C', 'H']",112.125200515824
1485-07-0,2-Naphthaleneethanol,C12H12O,"['C', 'H', 'O']",172.0888150064397
14852-31-4,2-Hexadecanol,C16H34O,"['C', 'H', 'O']",242.2609657156977
148-53-8,"Benzaldehyde, 2-hydroxy-3-methoxy-",C8H8O3,"['C', 'H', 'O']",152.0473441166271
1485-45-6,"Propylamine, 2-(2,6-dichlorophenoxy)-n,n-dimethyl-, hydrochloride",C11H16Cl3NO,"['C', 'H', 'Cl', 'N', 'O']",283.0297471869377
14857-82-0,gly-gly-leu,C10H19N3O4,"['C', 'H', 'N', 'O']",245.1375561041238
14858-73-2,"Carbonic acid, bis(2-ethylhexyl) ester",C17H34O3,"['C', 'H', 'O']",286.2507949548411
14860-49-2,Clobutinol,C14H22ClNO,"['C', 'H', 'Cl', 'N', 'O']",255.1389920156317
14861-06-4,Vinyl crotonate,C6H8O2,"['C', 'H', 'O']",112.0524294970554
1486-28-8,"Phosphine, methyldiphenyl-",C13H13P,"['C', 'H', 'P']",200.075487417534
1486-40-4,"Phosphorodichloridothioic acid, s-ethyl ester",C2H5Cl2OPS,"['C', 'H', 'Cl', 'O', 'P', 'S']",177.9175783183477
1486-51-7,4-Benzyloxybenzoic acid,C14H12O3,"['C', 'H', 'O']",228.0786442455831
148-65-2,Chloropyrilene,C14H18ClN3S,"['C', 'H', 'Cl', 'N', 'S']",295.090996450382
1486-75-5,"Cyclododecene, (E)-",C12H22,"['C', 'H']",166.172150709258
14867-83-5,"Spiro[4.4]nona-1,3,6,8-tetraene",C9H8,"['C', 'H']",116.062600257912
148681-93-0,2-n-pentyl-5-(4'-cyanobiphenyl-4-yl)thiophene,C22H21NS,"['C', 'H', 'N', 'S']",331.139470855865
1486-91-5,"2,2-Dimethyl-3-piperidino spiro[3.5]nonan-1-ol",C16H29NO,"['C', 'H', 'N', 'O']",251.22491455893467
1486-92-6,"3-Dimethylamino-2,2,4,4-tetramethyl cyclobutanol",C10H21NO,"['C', 'H', 'N', 'O']",171.1623143010227
14869-39-7,"Ethanone, 2-ethoxy-1-phenyl-",C10H12O2,"['C', 'H', 'O']",164.0837296260114
1487-15-6,"Furan, 2,3-dihydro-5-methyl-",C5H8O,"['C', 'H', 'O']",84.0575148774837
1487-18-9,Furylethylene,C6H6O,"['C', 'H', 'O']",94.0418648130057
1487-49-6,"Butanoic acid, 3-hydroxy-, methyl ester",C5H10O3,"['C', 'H', 'O']",118.0629941811051
148759-16-4,C2H3CH=C:,C4H4,"['C', 'H']",52.031300128956
148-79-8,Thiabendazole,C10H7N3S,"['C', 'H', 'N', 'S']",201.036068413383
148-87-8,"Propionitrile, 3-(n-ethylanilino)-",C11H14N2,"['C', 'H', 'N']",174.11569846020998
14892-14-9,"2,3,4,5,6-Pentafluorophenoxy acetic acid",C8H3F5O3,"['C', 'H', 'F', 'O']",242.0002347691281
1489-53-8,"1,2,3-Trifluorobenzene",C6H3F3,"['C', 'H', 'F']",132.0186845849346
1489-56-1,"1-Methyl-1,3-cyclohexadiene",C7H10,"['C', 'H']",94.07825032239
1489-57-2,"1,3-Cyclohexadiene, 3-methyl",C7H10,"['C', 'H']",94.07825032239
1489-60-7,"Cyclobutene, 1-methyl-",C5H8,"['C', 'H']",68.062600257912
1489-69-6,Cyclopropanecarboxaldehyde,C4H6O,"['C', 'H', 'O']",70.0418648130057
1489-74-3,"1,5-cyclooctanedione",C8H12O2,"['C', 'H', 'O']",140.0837296260114
14898-79-4,"2-Butanol, (R)-",C4H10O,"['C', 'H', 'O']",74.0731649419617
14898-86-3,"Benzenemethanol, &#945;-(1-methylethyl)-, (R)-",C10H14O,"['C', 'H', 'O']",150.10446507091768
14898-87-4,1-Phenyl-2-propanol,C9H12O,"['C', 'H', 'O']",136.0888150064397
14899-07-1,"Benzoic acid, 2-[6-(ethylamino)-3-(ethylimino)-3H-xanthen-9-yl-, ethyl ester",C26H26N2O3,"['C', 'H', 'N', 'O']",414.1943427057931
1490-04-6,Menthol,C10H20O,"['C', 'H', 'O']",156.1514152643517
14901-07-6,"4-(2,6,6-Trimethylcyclohex-1-en-1-yl)but-3-en-2-one",C13H20O,"['C', 'H', 'O']",192.1514152643517
14905-56-7,"2,6,10-Trimethyltetradecane",C17H36,"['C', 'H']",240.281701160604
14905-79-4,sec-butyl phenyl sulfide,C10H14S,"['C', 'H', 'S']",166.08162162576
14905-80-7,"Benzene, 1-methyl-3-[(1-methylethyl)thio]-",C10H14S,"['C', 'H', 'S']",166.08162162576
14905-81-8,"Benzene, 1-methyl-4-[(1-methylethyl)thio]-",C10H14S,"['C', 'H', 'S']",166.08162162576
14906-26-4,Dimethylvinylethynylhydroperoxide,C7H10O2,"['C', 'H', 'O']",126.06807956153341
14906-32-2,t-Butyldimethylvinylethynylperoxide,C11H18O2,"['C', 'H', 'O']",182.13067981944542
14906-55-9,"Pyridine, 4-ethyl-, 1-oxide",C7H9NO,"['C', 'H', 'N', 'O']",123.0684139141547
14906-56-0,"Acetamide,N-4-pyridinyl-,1-oxide",C7H8N2O2,"['C', 'H', 'N', 'O']",152.0585775059194
14906-59-3,"4-Pyridinecarbonitrile, 1-oxide",C6H4N2O,"['C', 'H', 'N', 'O']",120.03236275739171
14906-61-7,"Pyridine, 3-methoxy-, 1-oxide",C6H7NO2,"['C', 'H', 'N', 'O']",125.0476784692484
14906-64-0,"3-Pyridinecarbonitrile, 1-oxide",C6H4N2O,"['C', 'H', 'N', 'O']",120.03236275739171
14910-04-4,5-Amnio-1-(3-methylphenyl)tetrazole,C8H9N5,"['C', 'H', 'N']",175.085795312311
14912-44-8,&#945;-Ylangene,C15H24,"['C', 'H']",204.187800773736
1491-59-4,Oxymetazoline,C16H24N2O,"['C', 'H', 'N', 'O']",260.1888634021717
149-16-6,(3'-Di-n-butylaminopropyl)-p-aminobenzoate,C18H30N2O2,"['C', 'H', 'N', 'O']",306.2307282151774
14916-79-1,3-Heptyn-1-ol,C7H12O,"['C', 'H', 'O']",112.0888150064397
14916-80-4,3-Octyn-1-ol,C8H14O,"['C', 'H', 'O']",126.1044650709177
14918-21-9,5-Hexynenitrile,C6H7N,"['C', 'H', 'N']",93.05784923010499
14919-01-8,"3-Octene, (E)-",C8H16,"['C', 'H']",112.125200515824
14920-81-1,"2,6-(CH3)2-C6H3-COOCH3",C10H12O2,"['C', 'H', 'O']",164.0837296260114
14920-89-9,"2,3-Dimethylfuran",C6H8O,"['C', 'H', 'O']",96.0575148774837
14921-35-8,"benzenamine, N-[(4-methoxyphenyl)methylene]-4-propoxy-",C17H19NO2,"['C', 'H', 'N', 'O']",269.1415788561164
14921-36-9,"benzenamine, N-[(4-ethoxyphenyl)methylene]-4-propoxy-",C18H21NO2,"['C', 'H', 'N', 'O']",283.1572289205944
14921-46-1,"benzenamine, 4-butoxy-N-[(4-methoxyphenyl)methylene]-",C18H21NO2,"['C', 'H', 'N', 'O']",283.1572289205944
14922-36-2,4-Nitrophenylglyoxylic acid,C8H5NO5,"['C', 'H', 'N', 'O']",195.0167722634855
1492-24-6,(l)-2-Aminobutanoic acid,C4H9NO2,"['C', 'H', 'N', 'O']",103.0633285337264
1492-30-4,"Hexadecanoic acid, 4-nitrophenyl ester",C22H35NO4,"['C', 'H', 'N', 'O']",377.25660861108383
14924-51-7,"Cyclobutane carboxylic acid, 3-tert-butyl, ethyl ester, cis-",C11H20O2,"['C', 'H', 'O']",184.1463298839234
14924-52-8,Ethyl trans-3-t-butylcyclobutanecarboxylate,C11H20O2,"['C', 'H', 'O']",184.1463298839234
14924-53-9,Ethyl cyclobutanecarboxylate,C7H12O2,"['C', 'H', 'O']",128.0837296260114
14926-88-6,"Bicyclo[2.2.2]oct-2-ene, 5-methyl-, (1&#945;,4&#945;,5&#945;)-",C9H14,"['C', 'H']",122.109550451346
1493-02-3,Formyl fluoride,CHFO,"['C', 'H', 'F', 'O']",48.0011428145499
149-30-4,2-Mercaptobenzothiazole,C7H5NS2,"['C', 'H', 'N', 'S']",166.986341514455
1493-13-6,CF3SO3H,CHF3O3S,"['C', 'H', 'F', 'O', 'S']",149.9598495535857
149-31-5,"1,3-Pentanediol, 2-methyl-",C6H14O2,"['C', 'H', 'O']",118.0993796904894
1493-15-8,Trifluoromethanethiol,CHF3S,"['C', 'H', 'F', 'S']",101.9751056948706
149-32-6,"2(r),3(s)-1,2,3,4-Butanetetrol",C4H10O4,"['C', 'H', 'O']",122.05790880067681
1493-27-2,"Benzene, 1-fluoro-2-nitro-",C6H4FNO2,"['C', 'H', 'F', 'N', 'O']",141.0226065352706
149341-33-3,(S)-(-)-1-(2-Diphenylphosphino-1-naphthyl)isoquinoline (S)-QUINAP,C31H22NP,"['C', 'H', 'N', 'P']",439.148986712117
149341-34-4,(R)-(+)-1-(2-Diphenylphosphino-1-naphthyl)isoquinoline (R)-QUINAP,C31H22NP,"['C', 'H', 'N', 'P']",439.148986712117
14936-66-4,"2-Nonanol, acetate",C11H22O2,"['C', 'H', 'O']",186.1619799484014
14936-67-5,"2-Undecanol, acetate",C13H26O2,"['C', 'H', 'O']",214.1932800773574
1493-68-1,"Pyrene, decafluoro-",C16F10,"['C', 'F']",381.984031627392
14937-39-4,Bis(dimethylamino)methylphosphine,C5H15N2P,"['C', 'H', 'N', 'P']",134.097285490876
14938-35-3,P-n-amyl phenol,C11H16O,"['C', 'H', 'O']",164.12011513539568
14944-13-9,"5,8-Dihydro-5,8-endomethylene-2-methyl-1,4-naphthohydroquinone",C12H12O2,"['C', 'H', 'O']",188.0837296260114
14944-28-6,"1-Methyl-1,2,3,4,-tetrahydro-1-naphthol",C11H14O,"['C', 'H', 'O']",162.10446507091768
14945-24-5,Tetra-(p-dimethylaminophenyl)porphyrin,C52H50N8,"['C', 'H', 'N']",786.415843647406
14947-20-7,trans-Alloocimene,C8H12,"['C', 'H']",108.093900386868
1495-18-7,Carbonothioic chloride fluoride,CClFS,"['C', 'Cl', 'F', 'S']",97.9393270195232
14952-05-7,trans 2-Nonenoic acid amide,C9H17NO,"['C', 'H', 'N', 'O']",155.1310141720667
1495-28-9,"Methane, dichlorofluoronitroso-",CCl2FNO,"['C', 'Cl', 'F', 'N', 'O']",130.9340971514829
1495-50-7,Cyanogen fluoride,CFN,"['C', 'F', 'N']",45.0014771671712
149-57-5,"Hexanoic acid, 2-ethyl-",C8H16O2,"['C', 'H', 'O']",144.1150297549674
14959-86-5,Z-7-dodecenyl acetate,C14H26O2,"['C', 'H', 'O']",226.1932800773574
1496-00-0,"Benzene, 1-fluoro-3-(phenylmethyl)-",C13H11F,"['C', 'H', 'F']",186.0844785173682
14965-49-2,Methylammonium iodide,CH6IN,"['C', 'H', 'I', 'N']",158.954496136866
1496-94-2,OP(n-C3H7)3,C9H21OP,"['C', 'H', 'O', 'P']",176.1330022950177
1497-17-2,Desmethylmethsuximide,C11H11NO2,"['C', 'H', 'N', 'O']",189.0789785982044
149-73-5,"Methane, trimethoxy-",C4H10O3,"['C', 'H', 'O']",106.0629941811051
149793-69-1,3-Fluoro-5-(trifluoromethyl)benzonitrile,C8H3F4N,"['C', 'H', 'F', 'N']",189.0201617521058
14979-39-6,4-Methyl-3-heptanol,C8H18O,"['C', 'H', 'O']",130.1357651998737
14980-92-8,Ethyl 2-bromotetradecanoate,C16H31BrO2,"['C', 'H', 'Br', 'O']",334.15074285255236
14982-53-7,Cholestane,C27H48,"['C', 'H']",372.375601547472
14983-92-7,"Carbamic acid, 2-methylphenyl, methyl ester",C9H11NO2,"['C', 'H', 'N', 'O']",165.0789785982044
1498-40-4,Ethyldichlorophosphine,C2H5Cl2P,"['C', 'H', 'Cl', 'P']",129.950592524362
14984-21-5,"Methanone, bis(4-phenoxyphenyl)-",C25H18O3,"['C', 'H', 'O']",366.1255944390171
1498-47-1,Allylphosphonic dichloride,C3H5Cl2OP,"['C', 'H', 'Cl', 'O', 'P']",157.9455071439337
14984-74-8,Difluorophosphine,HF2P,"['H', 'F', 'P']",69.97839335614441
14984-78-2,Nitrosodifluoroamine,F2N2O,"['F', 'N', 'O']",81.99786895391411
1498-51-7,Ethyl dichlorophosphate,C2H5Cl2O2P,"['C', 'H', 'Cl', 'O', 'P']",161.94042176350538
1498-52-8,N-Butylphosphorodichloridate,C4H9Cl2O2P,"['C', 'H', 'Cl', 'O', 'P']",189.9717218924614
1498-64-2,o-Ethyl dichlorothiophosphate,C2H5Cl2OPS,"['C', 'H', 'Cl', 'O', 'P', 'S']",177.9175783183477
1498-65-3,"Phosphoramidothioic dichloride, dimethyl-",C2H6Cl2NPS,"['C', 'H', 'Cl', 'N', 'P', 'S']",176.933562735447
14986-60-8,FN3,FN3,"['F', 'N']",61.0076251760352
1498-69-7,"Anthracene, 9-butyl-",C18H18,"['C', 'H']",234.14085058030201
1498-70-0,"anthracene, 1,2,10-trimethyl-",C17H16,"['C', 'H']",220.125200515824
149-87-1,DL-5-Oxoproline,C5H7NO3,"['C', 'H', 'N', 'O']",129.0425930888201
1498-88-0,"1',3',3'-Trimethyl-6-nitro-spiro[2-(2H-benzopyran)-2'-indolenine]",C19H18N2O3,"['C', 'H', 'N', 'O']",322.1317424478811
14989-30-1,Monochlorine monoxide,ClO,"['Cl', 'O']",50.9637673019417
14989-32-3,Sulfur chloride,ClS,"['Cl', 'S']",66.940923856784
1498-96-0,4-n-Butoxybenzoic acid,C11H14O3,"['C', 'H', 'O']",194.0942943100611
1499-02-1,"cis-2,4,6-Trimethyl-1,3,5-trioxane",C6H12O3,"['C', 'H', 'O']",132.0786442455831
1499-10-1,"Anthracene, 9,10-diphenyl-",C26H18,"['C', 'H']",330.140850580302
149-91-7,"Benzoic acid, 3,4,5-trihydroxy-",C7H6O5,"['C', 'H', 'O']",170.0215232912925
1499-21-4,Diphenylphosphinic chloride,C12H10ClOP,"['C', 'H', 'Cl', 'O', 'P']",236.01577962275869
14993-07-8,"Bicyclo[3.2.2]nona-2,6-diene",C9H12,"['C', 'H']",120.093900386868
14994-35-5,"N,N,2,6-Tetramethylaniline,4-fluoro",C10H14FN,"['C', 'H', 'F', 'N']",167.1110276185172
1499-53-2,N-Benzoylglycine ethyl ester,C11H13NO3,"['C', 'H', 'N', 'O']",207.08954328225408
14995-50-7,"Bicyclo[2.2.1]hept-2-ene,7-(1-methylethylidene)-",C10H14,"['C', 'H']",134.109550451346
14996-70-4,"Hydrazine,1,2-dimethyl-1,2-diphenyl-",C14H16N2,"['C', 'H', 'N']",212.13134852468798
15001-27-1,"3,4-Dimethoxybenzylideneacetone",C12H14O3,"['C', 'H', 'O']",206.0942943100611
1500-76-1,"5,5-Dimethyl-3-[N-cyclohexylamino]-cyclohex-2-en-1-one",C14H23NO,"['C', 'H', 'N', 'O']",221.17796436550069
15009-91-3,"Pyridine, 2-nitro-",C5H4N2O2,"['C', 'H', 'N', 'O']",124.02727737696341
15010-23-8,"Acetamide,N-3-pyridinyl-,1-oxide",C7H8N2O2,"['C', 'H', 'N', 'O']",152.0585775059194
1501-04-8,Methyl 4-benzoylbutyrate,C12H14O3,"['C', 'H', 'O']",206.0942943100611
1501-05-9,"Benzenepentanoic acid, .delta.-oxo-",C11H12O3,"['C', 'H', 'O']",192.0786442455831
1501-06-0,Diethyl 2-acetylglutarate,C11H18O5,"['C', 'H', 'O']",230.1154236781605
15012-36-9,"2,3-(CH3)2-C6H3-COOCH3",C10H12O2,"['C', 'H', 'O']",164.0837296260114
1501-26-4,"4-(Chloroformyl)butyric acid, methyl ester",C6H9ClO3,"['C', 'H', 'Cl', 'O']",164.0240218312361
1501-27-5,"Pentanedioic acid, monomethyl ester",C6H10O4,"['C', 'H', 'O']",146.0579088006768
150-13-0,p-Aminobenzoic acid,C7H7NO2,"['C', 'H', 'N', 'O']",137.04767846924838
15014-25-2,Dibenzyl malonate,C17H16O4,"['C', 'H', 'O']",284.10485899411077
1501-58-2,"Cyclobutene, 1,2-dimethyl-",C6H10,"['C', 'H']",82.07825032239
1501-60-6,"1,3-Pentadiene, 2-methyl-, (Z)-",C6H10,"['C', 'H']",82.07825032239
15018-03-8,"Methyl 3,5-di-t-butylsalicylate",C16H24O3,"['C', 'H', 'O']",264.1725446324511
1501-82-2,Cyclododecene,C12H22,"['C', 'H']",166.172150709258
150-19-6,3-Methoxyphenol,C7H8O2,"['C', 'H', 'O']",124.0524294970554
1502-00-7,"N,N-Dimethyl-1-adamantylcarboxamide",C13H21NO,"['C', 'H', 'N', 'O']",207.1623143010227
1502-03-0,Cyclododecylamine,C12H25N,"['C', 'H', 'N']",183.198699810407
1502-04-1,"1,5-cyclododecadiene",C12H20,"['C', 'H']",164.15650064478
1502-05-2,Cyclodecanol,C10H20O,"['C', 'H', 'O']",156.1514152643517
1502-06-3,Cyclodecanone,C10H18O,"['C', 'H', 'O']",154.1357651998737
1502-10-9,"1-Amino-7-imino-1,3,5-cycloheptatriene",C9H12N2,"['C', 'H', 'N']",148.100048395732
15022-08-9,Diallyl carbonate,C7H10O3,"['C', 'H', 'O']",142.0629941811051
1502-22-3,2-(1-Cyclohexenyl)cyclohexanone,C12H18O,"['C', 'H', 'O']",178.1357651998737
1502-24-5,"Cyclohexanol, 2,3-dimethyl-",C8H16O,"['C', 'H', 'O']",128.1201151353957
1502-38-1,"Cyclooctane, methyl-",C9H18,"['C', 'H']",126.140850580302
15024-10-9,"4-Chlorobenzoic acid, 4-tolyl ester",C14H11ClO2,"['C', 'H', 'Cl', 'O']",246.0447572761424
1502-47-2,"2,5,8-Triamino-1,3,4,6,7,9,9b-heptaaza-phenalene",C6H6N10,"['C', 'H', 'N']",218.07769023775398
15025-23-7,2-Cyclohexyl-3-hydroxy-1-isoindolinone,C14H17NO2,"['C', 'H', 'N', 'O']",231.12592879163842
1502-93-8,Threo-3-methylpentan-2-ol,C6H14O,"['C', 'H', 'O']",102.1044650709177
1502-95-0,"Morphine, diacetyl-, hydrochloride",C21H23NO5.ClH,"['C', 'H', 'N', 'O', 'Cl', 'H']",405.1343005583965
150-30-1,L-Phenylalanine,C9H11NO2,"['C', 'H', 'N', 'O']",165.0789785982044
15030-44-1,"1H-purine-2,6-dione, 8-(1,1-dimethylethyl)-3,7-dihydro-1,3-dimethyl-",C11H16N4O2,"['C', 'H', 'N', 'O']",236.1273257726954
150320-52-8,2-Isopropyl-5-methyl-9-methylene-bicyclo-1-decene(4.4.0),C15H24,"['C', 'H']",204.187800773736
1503-49-7,4-Cyanobenzophenone,C14H9NO,"['C', 'H', 'N', 'O']",207.0684139141547
1503-53-3,2-(Acetyloxy)-5-bromobenzoic acid,C9H7BrO4,"['C', 'H', 'Br', 'O']",257.9527713179598
15036-31-4,Dicinnamoyl peroxide,C18H14O4,"['C', 'H', 'O']",294.0892089296328
15042-57-6,"1,3-dioxane, 2,5-dimethyl-, cis-",C6H12O2,"['C', 'H', 'O']",116.0837296260114
15042-58-7,"1,3-dioxane, 2,5-dimethyl-, trans-",C6H12O2,"['C', 'H', 'O']",116.0837296260114
15042-59-8,"cis-2,4-Dimethyl-1,3-dioxane",C6H12O2,"['C', 'H', 'O']",116.0837296260114
15042-60-1,"trans-2,4-dimethyl-1,3-dioxane",C6H12O2,"['C', 'H', 'O']",116.0837296260114
15045-43-9,"Furan, tetrahydro-2,2,5,5-tetramethyl-",C8H16O,"['C', 'H', 'O']",128.1201151353957
1504-54-7,"2-Buten-1-ol, 3-phenyl-,",C10H12O,"['C', 'H', 'O']",148.0888150064397
1504-58-1,3-Phenyl-2-propyn-1-ol,C9H8O,"['C', 'H', 'O']",132.0575148774837
1504-63-8,4-Nitrocinnamyl alcohol,C9H9NO3,"['C', 'H', 'N', 'O']",179.0582431532981
1504-74-1,"2-Propenal, 3-(2-methoxyphenyl)-",C10H10O2,"['C', 'H', 'O']",162.0680795615334
